residence_zone,total_income,mean_family_income,per_capita_income,median_family_income
59,189231479.70455185,8624.56039854846,3775.4929012699617,7573.23736116624
60,49444954.8931635,6084.78401343383,2391.5334893912213,5388.379665162906
61,63210871.183285296,5181.218949449614,2381.900338506495,5388.379665162906
62,29830871.451656144,13553.326420561629,6039.860589523414,10850.864139600655
63,9914697.381192354,12760.228289822831,4836.437746923102,11637.6405633997
64,177046542.41698194,12184.896243426114,5649.219604881366,10117.27866440274
65,515793909.776458,42571.30321694088,19602.99140226736,38000
66,103487811.31643362,21124.27256918428,9968.003401698488,17200
67,49652513.01411478,12627.800868289636,5572.047246562088,9433.288100955418
68,129999776.45264198,10520.3347457022,5078.116267681331,8200.90669745515
69,82100603.37729141,14913.82441004386,7707.529419572993,11637.6405633997
70,79068512.56471984,11915.086281603337,5913.432994145527,10142.076120278038
71,247356936.7760486,17456.382270716153,7902.525055942261,13000
72,124278537.79739513,20996.542962898297,9430.043083496095,17712.04153560232
73,95722859.16969256,20877.3956749602,9698.364657516977,15398.10917470158
74,109014212.5986894,18876.91993050898,9459.754651049057,15000
75,71616129.27629168,11055.283926565531,5409.481779310507,8795.539526723149
76,61496176.55947471,15572.594722581523,6648.954109576693,12481.464714742113
77,194432621.9924954,17076.46425368829,8706.458086713925,12467.732357371056
78,166466210.75577468,19143.758453227725,9250.692456558743,13386.473020596744
79,110853834.26044694,23332.73716279668,11602.8714947087,13000
80,133792238.57870436,13887.506599408784,7014.009886170621,10850.864139600655
81,184897098.95093653,38762.494538980376,15521.9189851357,26957.048144353583
82,77925561.13022079,12396.684875949864,6285.333209406421,10308.63933220137
83,137263138.6714465,12206.593034366024,5871.215136295248,10117.27866440274
84,91073065.8803401,12241.003478540311,5454.130188066847,9433.288100955418
85,32891173.604831655,19004.78468262416,7665.1534851623455,15000
86,15580355.170661427,11920.700207086058,5140.334929284542,8795.539526723149
87,113665429.5872208,14836.891996765497,6786.400954517936,10850.864139600655
88,256904784.90015215,14399.685269892498,6565.081899727892,11700
89,48711091.659720354,8754.68937090587,3952.2183902410034,6647.525771628534
90,76068697.52414511,13038.85799179726,5985.419586446222,9433.288100955418
91,26027486.133426107,4176.425887905341,1815.0269270171627,3798.563486461406
92,17766822.467111234,12645.425243495543,5096.621476509245,8150
93,71973745.21397035,15226.093762210774,6952.641539216609,9216.64405047771
94,34124514.56446059,13226.556032736677,5604.288810060858,10000
95,140468622.25508633,19463.575205083387,8580.332432660583,15398.10917470158
96,49865554.725282,20820.690908259676,7759.968055599443,14357.101832728828
97,166461972.91152805,25379.1695245507,10746.415294482127,21850.957039515142
98,22130927.97568139,6220.047210703036,2505.766301594361,5012.045949552388
99,25518118.229346152,6881.90890759066,2917.3566056186296,6198.1119471319635
100,102255589.51202694,9775.527503314514,4313.1259284641,6647.525771628534
101,85866128.51265208,9094.446758245636,3981.7356138489263,6550
102,151682342.4889359,30221.626317779577,12582.525299787296,25000
103,27366646.612467557,33011.636444472286,10933.53839890834,26000
104,42223193.6448833,15730.368757058295,6608.73276645536,12481.464714742113
105,81891799.02064519,14830.963036311545,6298.884625847642,14357.101832728828
106,6944156.278178899,2700.9553785215458,991.455779294531,2585.3401774806393
107,102086682.01926872,15458.310420846265,6239.63584250771,14357.101832728828
108,14963759.514617397,7731.450995441547,2831.3641465690444,4842.216118682415
109,318999103.1947789,7169.946839759728,2666.146556522291,5000
110,169757878.6585756,6511.617900213872,2630.1924120506906,6365
111,187055269.55696177,9545.584280310351,3651.212538442776,6000
112,53249548.36911893,3726.032372961787,1335.880895339277,3200
113,46251610.82623586,4897.978484193145,1824.9530786867049,4136.224871860383
114,,,,
115,94711482.43312313,5135.083627907348,1822.7767981740417,3900
