origin_zone,short_distance,expensive_transport,distant_stop_or_station,infrequent_transport,long_travel_time,crowded_transport,physical_activity,fear_of_contagion,other_reasons,total
145,2949.006141259897,0,0,455.54337543367757,0,0,0,0,0,3404.549516693575
146,-,-,-,-,-,-,-,-,-,0
147,9842.9617770339792,0,0,114.28325182734805,0,0,0,0,0,9957.245028861327
148,8053.0443511368248,0,0,0,0,0,0,0,0,8053.044351136826
149,-,-,-,-,-,-,-,-,-,0
150,17133.108198178532,0,0,0,0,0,0,0,0,17133.108198178532
151,27327.091075144952,0,0,239.387198797049,0,0,89.022441538650426,0,0,27655.50071548065
152,7798.4220592841339,0,0,425.48211894609,0,0,0,0,0,8223.904178230225
153,2985.6670456875586,0,0,0,0,0,89.022441538650426,0,0,3074.689487226209
154,24153.483170244683,0,0,980.15928264217473,0,0,0,0,0,25133.64245288686
155,13133.530580386243,1100.7472239166077,0,0,0,0,0,0,0,14234.27780430285
156,24107.896242725117,826.97764038121306,0,980.15928264217473,0,0,164.01135097829368,0,323.98679300845635,26403.031309735255
157,3511.1249599776133,0,0,0,0,0,0,0,0,3511.1249599776133
158,15362.965092812852,0,0,0,0,0,362.30548968592433,0,0,15725.270582498775
159,32729.629110870457,0,0,0,0,0,362.30548968592433,0,0,33091.93460055638
160,27611.389916736149,0,0,0,0,0,0,0,0,27611.38991673615
161,26995.951697422744,433.20925794762519,0,2888.8024674530561,0,0,0,0,0,30317.963422823428
162,12625.445540839897,433.20925794762519,0,0,0,0,0,0,0,13058.654798787522
163,19983.412974125942,0,0,698.79783459852592,0,0,1649.3587262863089,0,0,22331.569535010774
164,2421.2166597614623,0,0,0,0,0,73.396037510052636,0,0,2494.612697271515
165,1148.0528311244127,0,0,23.157275387057904,0,0,0,0,32.584415094095768,1203.7945216055664
166,21303.284942670267,0,0,0,0,0,1210.9743359448644,0,0,22514.259278615133
167,10345.944307708944,0,0,0,0,0,481.47407209829356,0,0,10827.418379807235
168,8967.2370465180193,0,0,0,0,0,729.50026384657087,0,0,9696.73731036459
169,20158.6028887555,0,0,0,0,0,58.66965404228138,0,0,20217.272542797786
170,29566.896323404162,0,0,0,0,0,0,0,0,29566.89632340416
171,15977.057599840458,885.95533821684546,0,0,406.32559797155938,0,2742.8601087744723,0,381.439513898364,20393.6381587017
172,7456.1958682988425,2017.1698064963668,0,0,406.32559797155938,0,0,0,0,9879.69127276677
173,5934.667910808259,0,0,105.30314130047347,0,0,194.56888700432933,0,0,6234.539939113062
174,19611.727379685726,0,0,0,0,0,0,0,0,19611.727379685726
175,4197.7026030225579,0,0,0,0,0,590.78783177297532,0,0,4788.4904347955335
176,17066.208167708926,0,0,0,0,0,483.24450998076708,0,0,17549.452677689693
177,6006.8826396044706,0,0,0,0,0,107.54332179220826,0,0,6114.425961396679
178,7237.3682421813737,0,0,0,0,0,0,0,0,7237.368242181375
179,-,-,-,-,-,-,-,-,-,0
180,42024.477024780164,368.31491984697374,0,0,0,0,504.26215395418063,0,722.18987806950577,43619.243976650825
181,13487.947983192917,365.4475089627058,0,0,0,0,709.80192901594455,0,722.18987806950577,15285.387299241072
182,20641.679676785061,1121.234707559561,0,0,154.67808932110739,0,0,0,0,21917.59247366573
