origin_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
42,1548.8964298588612,1557.7786421446212,3994.584170260452,0,462.6727515446722,2792.56665743702,763.3824179775331,0,391.0358231315154,532.4215879051807,0,731.3252385389569,4633.482382403669,0,17408.146101202477
43,20561.37726906514,1515.858720961604,11067.7695196472,0,2693.9054303831217,18347.599566465873,5172.4199740054955,0,2866.4998592400366,1069.7517483717493,0,248.09606245388832,12506.951020247932,0,76050.22917084204
44,3830.721098404499,3143.1089372386837,9641.819441995704,155.2052011958815,774.3972462979966,16081.611394284111,4828.174102038717,0,3066.5945289787014,448.8295560977811,0,0,10782.748308963044,0,52753.209815495095
45,14007.143578543288,6850.847786461636,9664.903362223702,0,3762.8949138756902,25458.311570169055,10692.986543982031,104.2711906020118,3027.573221782634,2540.1320880996627,699.9782706219528,0,10847.18264575552,0,87656.22517211718
46,1881.58863614678,2154.9286898540554,8248.328243481232,208.8720377102618,3850.511938158309,14951.246370683935,1914.8504638714733,0,1609.4403639005975,500.1860555586837,0,0,22205.37352806196,0,57525.32632742727
47,2253.09030952035,0,3056.8396039085837,608.5777618214402,673.0235393831556,10357.381575048472,2062.1082157449646,0,1448.9720758669448,1050.7461164950482,329.23715818964524,397.4223765924166,10198.045178866998,0,32435.443911438044
48,1556.7373202376446,1493.6435644430762,6019.038211177277,0,2354.8307675617084,11406.613071951717,6230.979707913891,0,345.7700567370715,942.7942626307619,346.06478147399184,327.7840121966856,7414.639540092523,0,38438.89529641635
49,15735.9911007291,0,2236.256662552848,0,1097.714170535996,8195.886992660728,1575.3376310513602,91.3963262028653,2705.0759875523336,243.80378954539208,0,697.830347576584,4844.782831012774,46.91686214943278,37470.99270156943
50,1799.7745067356925,66.33788387350904,2608.2824277322698,0,1176.356200030853,4217.083575024874,407.1362790623499,253.30978595988475,253.42651622261616,1095.8506845219947,0,357.3877572935918,5236.638399843565,0,17471.5840163012
51,8221.442378461747,0,2065.412031870415,0,1281.1420767210568,10292.971530598532,2007.8314097104617,163.79049184388035,708.6055375201547,435.29809960528746,0,169.67489824638724,2866.881446032505,145.72567706256936,28358.775577672965
52,8401.724519784473,0,2222.904934270891,0,85.07557291019289,8315.728340581207,1526.7998781923786,60.81797210806234,129.66352037946342,178.92120954748196,0,95.52012159473988,3332.367341878355,0,24349.52341124725
53,15580.497738202504,354.90716494491016,9633.872161239045,0,738.6021468166165,13553.592445921644,3309.812564746917,598.3118808669785,1258.1190793785956,434.65411770229434,187.9674666169945,290.5191378947004,10126.681748310495,0,56067.537652641695
54,17852.156693636272,549.8202482587074,7139.750722098871,24.093241191043344,753.1625494517698,12341.673932091566,4011.767363925532,476.29401143248674,2932.3397062868858,554.4131399252954,0,260.61936429789125,9568.021022494257,0,56464.11199509055
55,15933.241553497512,0,2863.009739106981,342.89863959513565,1492.876454426353,9586.575396713535,2515.356946029335,14.731340000270718,3295.414082132605,3301.1352989775096,0,863.913912522601,10510.972051453347,0,50720.12541445516
