origin_zone,destination_industry_work,commerce_work,services_work,education,shopping,health,leisure,home,job_search,personal_business,meal,total
125,5288.6372549348771,5853.5057589420039,12178.679153426161,14949.784527533757,746.30437028198958,2585.9006850850446,2307.5351257141579,28939.32076651273,0,489.73019698335986,0,73339.39783941409
126,1266.2896786142721,4828.2641349390333,11308.261792052643,8797.3346562758561,734.84773276312467,1164.0479175428709,1279.7123654743687,30516.452161156107,139.67958940703727,270.71098256061117,0,60305.601010785926
127,1485.5771125756621,5395.4691534886242,16141.813513076217,19708.273898689094,1275.4712855867708,3310.7643045455811,2100.0720956780569,58269.242872965136,587.12105876067528,4595.5101931761365,122.87062755338762,112992.18611609534
128,104.35799260863934,100.26969462062809,1083.0802932829529,381.23345178817306,94.845330351576663,450.79237266843603,735.45930044400586,20799.802123813359,56.311404984194198,135.47088475778176,43.380199235682753,23985.003048555427
129,130.53354736488103,240.99087256279745,1622.028538968897,1298.5208025327859,139.80726019826716,807.55245673432171,95.895453396512039,30258.954922337351,40.258022260097142,76.512030605414083,364.12603455661565,35075.17994151794
130,214.56721896057252,1206.2700011823256,2102.4636470740902,1883.5413179509153,320.19401117196372,356.74000512026151,0,4828.7205675488995,0,1994.9893189057814,108.57176607402769,13016.057853988836
131,57.403443177077385,103.67470751573254,484.48375839458663,364.79323567112237,18.183893571417741,109.35303787477616,120.20573710055403,17947.181277141844,0,8.6091694618547852,0,19213.888259908967
132,1003.263369692066,0,370.93289196348189,0,0,0,0,8837.1837630005848,0,274.9200049826984,0,10486.300029638833
133,3467.9177723249704,4590.335256182344,14386.966934693133,5646.3716108122471,868.45470745475461,47.386072066212357,1162.4945724200272,43745.172803271846,0,561.26988370387642,298.26819293748576,74774.63780586689
134,699.43086925279272,1128.5103357201031,11122.615888219183,9492.3293904211641,2805.9574154899569,3263.9407198729136,1483.7072118364115,32037.814266365167,0,1110.865998024497,0,63145.172095202186
135,2307.5697010997801,2295.5884036829088,10189.205101119132,12705.170819457837,2733.2173580965946,670.89257835777721,3588.0096278371871,34327.907529008255,0,1160.4034598491562,0,69977.96457850863
136,2099.9455989731446,1622.5545784381352,12011.746211584705,9789.9751464151432,777.46777518161275,4649.5567393584197,795.02717075511634,34529.90787764659,0,1981.0393710003364,989.29156519490652,69246.5120345481
137,841.73754569185212,3710.3687546224073,11560.032301684998,15984.962615895087,3408.4352210933394,1362.3377501039977,1020.4190239935441,29445.047601795202,0,2673.7930097384078,404.18282205300073,70411.31664667182
138,936.67672735087604,1456.9157919763404,3143.1573151801549,4386.8168565185479,81.189416026752511,554.73438012316433,1837.2989117496447,21342.553382965751,0,472.00767563632951,0,34211.35045752756
139,1602.773280751426,2462.355307051339,8467.0093010061591,11487.208705445008,963.95920849607023,2418.35053170217,709.99572760872934,21062.809484994668,232.71877505014726,1287.284254152607,0,50694.46457625832
140,2253.4489753316811,3592.5262940003354,7551.7157604687145,13032.210514602893,2068.2220001927371,1766.6807614128102,721.5738112480999,23691.398157584368,0,3155.0591680636194,224.06448876058806,58056.89993166586
141,4308.8821422914334,13119.398510329527,32513.52685347612,29436.0537335753,4498.7472874760169,5454.0506861447757,2297.3218940808474,56669.836660948873,427.33367708584774,2935.0273830382162,475.39365426533641,152135.57248271228
142,2129.7648247669399,3359.5712234040152,22968.712217526496,18602.598763630598,261.73210604599484,1268.4279234871592,0,20131.50931364463,0,1983.4063837166325,0,70705.72275622246
143,-,-,-,-,-,-,-,-,-,-,-,0
