destination_zone,metro,train,bus,chartered_transport,school_transport,car_driver,car_passenger,conventional_taxi,ride_hailing,motorcycle_driver,motorcycle_or_mototaxi_passenger,bicycle,walking,other,total
81,8451.070418236317,1326.6675495651507,10958.934955367644,517.1471972657134,841.3083325520605,17533.083651224333,5418.170990764446,530.900144405404,3545.526172168693,2872.2256193703247,14.837527741471208,1469.766400183432,3881.244683585504,0,57360.88364243042
82,27091.48877033084,8010.257892105358,14557.042533390888,0,71.19594957589028,30301.13343855,6058.0676481460305,176.4444462581311,5774.254623872854,3979.27832690996,63.6529678466587,2304.2553025143734,14273.89415517058,0,112660.9660546715
83,13033.767724539131,0,8772.047021852786,0,2070.2976126688895,17665.309883816317,7387.615841352783,608.7538288285875,3425.9910902153947,973.910036829045,0,689.661548005676,13929.183532801211,0,68556.5381209099
84,3888.5158373729346,2176.0568070090712,7022.301936700908,0,827.4685219049069,17581.891692554716,3719.1806558730505,549.491900029106,2293.462303314075,856.1231941946689,0,274.3285724649087,9106.690213227263,0,48295.51163464559
85,1260.1350437210797,340.12078963148844,540.5121462420684,0,138.1856428932992,4494.1360360286135,2990.596796540374,0,899.9385194691968,55.50535005245968,0,73.41593704974298,2223.3242046342352,0,13015.870466262566
86,1846.3327478531264,17.970663628041375,1540.747848425762,0,149.0383913731399,1978.014170589595,595.9660414572893,0,905.1060630208024,30.185201408627087,0,34.70522963046647,310.87599708623526,0,7408.942354473088
87,6018.3482756195845,42.628436990034,3232.1799581852206,379.67535153125175,911.4305955151226,11916.8437839545,4971.300479189962,558.3947046759587,2443.929241883661,1925.9463733210869,0,267.1137103056802,3855.7363928644336,116.62087156924667,36640.14817560579
88,7073.197691908976,3103.8328523392056,9812.950144920049,0,2644.78014109171,27662.232451512664,5822.467956743355,171.11743520800405,8711.63780156869,1057.6011121985653,0,549.979929579641,18018.567640499645,0,84628.36515757057
89,1985.3017506757908,0,1890.947612611522,0,452.8091721276123,5503.163926912336,2290.779778632946,0,733.7133247839663,0,0,142.56994190281029,1412.5642501129587,0,14411.84975775995
90,2031.5425103789544,0,6008.262092425761,0,1211.8231564601724,7668.929229681037,1882.4733327925985,24.093241191043344,1348.731582685132,411.2981340904285,73.31812049308314,92.58963862123888,6252.41321513201,0,27005.47425395147
91,6337.906474482628,12107.376540050607,13493.73104624296,0,201.32995762601425,10215.271014060534,4319.08686746594,114.87308802983344,217.56665264489808,428.2081970294519,0,868.7919391487704,4388.019417054284,0,52692.16119383593
