destination_zone,public_transport_a,individual_transport_b,motorized_a_b,non_motorized_c,total_a_b_c
304,29938.916512907741,19521.915450952845,49460.83196386059,4218.409655032131,53679.241618892724
305,59468.705539632901,33123.894115646413,92592.59965527931,33990.26781178673,126582.86746706604
306,63626.217973135746,36609.104595393845,100235.3225685296,65427.78885055374,165663.11141908335
307,41347.59846828477,19531.282955929088,60878.88142421386,18733.87335726318,79612.75478147704
308,58832.051166526391,21508.248271197957,80340.29943772434,53238.527560335824,133578.82699806016
309,25309.973073695,10766.753857686033,36076.72693138103,31476.498905851033,67553.22583723206
310,32945.489205952115,6906.2155311122342,39851.70473706435,27539.30028053687,67391.00501760122
311,9972.9963824180159,3687.1457568516462,13660.14213926966,19006.85921051408,32667.001349783743
312,48692.893441365115,24476.37572779875,73169.26916916386,45006.87138565819,118176.14055482204
313,30048.750516082087,27661.613203202349,57710.36371928443,25821.84483507316,83532.2085543576
314,16816.412823091188,7798.6439229395946,24615.056746030783,10694.108401073308,35309.16514710409
315,44787.116260182469,31211.588571119846,75998.7048313023,43544.54708706703,119543.25191836937
316,54591.09870627879,25631.074870820787,80222.17357709957,56377.477898144294,136599.65147524385
317,14063.742941579027,22093.14733298443,36156.890274563455,4897.995954517324,41054.88622908078
318,3707.9736811384369,11698.986258662278,15406.959939800716,638.1735059243543,16045.13344572507
319,14709.40076389077,24399.186236769187,39108.58700065996,5031.619950830771,44140.20695149073
320,10101.615706282679,27582.345429102141,37683.961135384816,2476.4702041452565,40160.43133953007
321,29945.439716215951,28273.118245150668,58218.55796136662,53107.54104115073,111326.09900251737
322,26312.962591975782,42936.531516098432,69249.49410807421,13954.816518697906,83204.31062677212
323,25674.31941777244,51342.953316498824,77017.27273427126,8971.673486638207,85988.94622090948
324,47414.247747868925,27869.487236696754,75283.73498456566,23113.12606645946,98396.86105102513
325,35090.191371213128,18711.383608767221,53801.574979980345,38284.140257515995,92085.71523749633
326,23752.067276171048,32628.327118824807,56380.394394995856,23287.024102836316,79667.41849783217
327,25603.936640507683,24777.820207525128,50381.75684803282,24704.946417647443,75086.70326568026
328,7739.0747099972386,22679.025482162819,30418.100192160055,2578.5446763705672,32996.644868530624
329,8898.2711059622306,15792.109399420999,24690.38050538323,4090.991619524256,28781.372124907484
330,20324.144564561113,28594.864359063089,48919.008923624206,8625.316509191201,57544.32543281541
