residence_zone,male,female,no_response,total
427,3028.4095803886094,4766.5904196113897,0,7794.999999999998
428,7214.4373949028595,9271.5626050971387,0,16486
429,29352.76588240757,41759.216875793507,336.01724179891397,71447.99999999999
430,16196.184466197374,20430.815533802623,0,36627
431,11499.128714529315,15163.871285470674,0,26662.99999999999
432,10475.278276175275,14788.721723824712,0,25263.999999999985
433,16022.951417563487,14820.048582436517,0,30843.000000000004
434,24101.459248102619,26868.540751897403,0,50970.00000000002
435,25762.908822192145,28708.091177807837,0,54470.999999999985
436,29468.251613468732,32174.927614734985,315.82077179630602,61959.00000000003
437,22751.358196450623,22289.772386361201,368.86941718817798,45410
438,64933.667583092123,54786.332416907811,0,119719.99999999994
439,55819.309664896209,60693.616551917868,638.07378318598001,117151.00000000006
440,54933.906134383942,70048.093865616087,0,124982.00000000004
441,1237.6098949395689,1283.390105060432,0,2521.000000000001
442,20447.086669266148,21369.913330733867,0,41817.000000000015
443,56648.851474745046,57489.273383266562,455.875141988515,114594.00000000012
444,68196.491752276444,83586.899439932648,1033.6088077908339,152816.9999999999
445,51394.198454731428,36651.801545268565,0,88046
446,15210.003654981869,12925.996345018128,0,28135.999999999996
447,38893.167749114873,40111.832250885171,0,79005.00000000004
448,13217.000267089341,11379.999732910668,0,24597.000000000007
449,6692.6489844662501,7397.3510155337444,0,14089.999999999996
450,6736.1270266032607,5495.872973396733,0,12231.999999999993
451,17554.037730141863,15121.962269858137,0,32676
452,44927.150103306012,53086.849896693988,0,98014
453,24024.322481214294,30726.677518785691,0,54750.999999999985
454,18745.505238632148,23044.494761367831,0,41789.99999999998
455,28091.411356416193,26763.588643583833,0,54855.00000000003
456,42988.683248986512,46847.316751013561,0,89836.00000000007
457,88032.519614381876,87422.48038561811,0,175455
458,45939.88825382237,46875.111746177608,0,92814.99999999997
459,23171.999089930992,26775.000910069048,0,49947.00000000005
460,11053.006087135878,9560.9939128641272,0,20614.000000000007
461,-,-,-,0
462,75107.954133043037,76649.045866956993,0,151757.00000000003
463,36485.623147940052,33251.37685205997,0,69737.00000000003
464,47183.506214289264,49996.493785710765,0,97180.00000000003
465,45301.852050730675,62560.147949269332,0,107862
466,24778.096262291445,29287.903737708544,0,54065.999999999985
467,32065.395138802021,39321.604861197971,0,71387
468,30533.611318778982,41320.388681220997,0,71853.99999999997
469,24915.785248915825,24485.545180544588,367.66957053955002,49768.99999999997
470,43582.953057423474,53381.046942576548,0,96964.00000000003
471,26798.320306564281,35041.679693435712,0,61839.99999999999
472,33499.062360033815,29415.937639966192,0,62915.00000000001
473,53573.49690232984,65485.503097670087,0,119058.99999999993
474,26203.773372016334,29391.226627983673,0,55595.00000000001
475,10391.196956221385,8272.8030437786165,0,18664
476,68518.634864219086,80031.365135780768,0,148549.99999999985
477,2481.2291825475854,2844.7708174524128,0,5325.999999999998
478,4491.0856072461893,3625.9143927538084,0,8116.999999999998
479,7828.5988006652169,8490.4011993347776,0,16318.999999999996
480,15953.918648651319,25536.081351348661,0,41489.99999999998
481,10178.707415663692,11398.29258433631,0,21577
482,2148.6272315505962,2867.9595420601186,66.4132263892851,5083
483,13566.873807456586,14225.126192543401,0,27791.999999999985
484,-,-,-,0
485,-,-,-,0
486,55114.455393968266,70331.544606031792,0,125446.00000000006
487,28656.091984762668,29615.908015237339,0,58272.00000000001
488,-,-,-,0
489,-,-,-,0
490,24271.369541265085,24504.630458734908,0,48775.99999999999
491,28330.815736922603,32811.184263077455,0,61142.00000000006
492,14828.226650573626,13167.77334942635,0,27995.999999999975
493,2301.1450036462702,1427.85499635373,0,3729
494,57210.716782905096,74226.283217095101,0,131437.0000000002
495,45576.995522086181,54248.004477913833,0,99825.00000000001
496,35316.151082754142,34981.848917245836,0,70297.99999999997
497,20578.802343260675,21168.197656739343,0,41747.000000000015
498,25835.382360780466,25217.617639219596,0,51053.00000000006
499,2820.7926602681646,2507.2073397318377,0,5328.000000000002
500,9833.244698432778,9709.755301567222,0,19543
501,22959.49671083381,20737.503289166198,0,43697.00000000001
502,26162.912823179606,34811.087176820372,0,60973.99999999998
503,23457.664990256082,21237.335009743914,0,44695
504,30574.173018808953,41371.826981191029,0,71945.99999999999
505,61222.93071078803,65479.069289211977,0,126702
506,38377.862475662128,43748.137524337857,0,82125.99999999999
507,7517.3784752053316,9928.6215247946948,0,17446.000000000025
508,9515.7300816231145,6808.2699183768873,0,16324.000000000002
509,61749.458770515208,63335.541229484712,0,125084.99999999993
510,19049.442760983053,26296.557239016984,0,45346.00000000003
511,20338.96397652723,30970.036023472778,0,51309.00000000001
512,18096.246418653558,18177.753581346424,0,36273.999999999985
513,4382.1363809692511,4934.8636190307534,0,9317.000000000004
514,49432.698468394585,50430.30153160543,0,99863.00000000001
515,4804.6828565949045,6592.3171434050937,0,11396.999999999998
516,17628.096782217406,20909.903217782597,0,38538
517,13525.893096557782,12636.106903442209,0,26161.999999999993
518,80916.186342200614,78467.813657799357,0,159383.99999999997
