household_id,family_id,first_family_record,family_expansion_factor,family_number,family_resident_count,housing_tenure,bathroom_count,domestic_employee_count,car_count,computer_count,dishwasher_count,single_door_refrigerator_count,freezer_count,washing_machine_count,dvd_count,microwave_count,motorcycle_count,clothes_dryer_count,bicycle_count,comfort_items_declaration,brazil_economic_class,brazil_economic_score,car_1_year,car_2_year,car_3_year,family_monthly_income,family_income_code
14800020,148000201,1,149.705882,1,2,2,2,0,1,1,0,1,1,1,1,1,0,0,0,N,3,32,2007,,,7646.47,3
14800021,148000211,1,149.705882,1,2,1,3,0,0,2,0,1,1,1,0,0,0,0,0,N,3,32,,,,7000,1
14800022,148000221,1,149.705882,1,3,2,3,0,2,2,0,1,2,1,0,1,1,0,0,N,2,42,2018,2002,,15398.11,3
14800023,148000231,1,149.705882,1,6,2,3,0,3,2,0,1,1,1,1,1,0,1,3,N,1,48,2011,2008,1976,12100,1
14800024,148000241,1,149.705882,1,2,1,2,0,1,2,1,1,1,1,0,1,0,1,0,N,2,42,2019,,,7160,1
14800025,148000251,1,149.705882,1,2,1,1,0,0,0,1,1,1,1,1,1,0,0,1,N,4,28,,,,1320,1
14800026,148000261,1,149.705882,1,3,2,1,0,1,1,0,1,1,1,0,1,0,0,0,N,3,30,2016,,,6647.53,3
14800028,148000281,1,149.705882,1,2,2,3,0,1,0,1,1,2,1,1,1,0,1,0,N,3,37,2023,,,10850.86,3
14800029,148000291,1,149.705882,1,4,1,2,0,1,0,0,1,1,1,0,1,0,1,0,N,3,33,2020,,,8200.91,3
14800031,148000311,1,149.705882,1,3,1,1,0,1,1,0,1,1,1,1,1,0,0,0,N,4,28,2009,,,2800,1
14800032,148000321,1,149.705882,1,2,2,1,0,0,0,0,1,1,1,1,1,0,0,0,N,5,18,,,,4500,1
14800035,148000351,1,149.705882,1,4,1,1,0,1,0,0,1,1,1,1,1,0,0,1,N,4,23,2010,,,5000,1
14800036,148000361,1,149.705882,1,4,2,2,0,1,2,0,1,1,1,0,1,0,0,1,N,3,37,2000,,,10850.86,3
14800037,148000371,1,149.705882,1,2,2,2,0,1,1,0,1,1,1,1,1,0,0,2,N,3,32,2009,,,7646.47,3
14800038,148000381,1,149.705882,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,N,3,34,2016,,,8795.54,3
14800039,148000391,1,149.705882,1,5,2,4,0,0,1,0,1,1,1,0,1,0,0,0,N,3,35,,,,8000,1
14800040,148000401,1,149.705882,1,5,1,1,0,0,0,0,1,0,1,0,1,0,0,1,N,5,19,,,,3077.89,3
14800042,148000421,1,149.705882,1,2,2,4,1,2,1,1,1,1,1,0,1,0,0,0,N,1,49,2023,2021,,28000,1
14800043,148000431,1,149.705882,1,3,2,4,1,2,1,0,1,1,1,0,1,1,0,1,N,1,47,2023,2021,,21850.96,3
